salario_anual,total_dividas,historico_pagamento (score),idade,credito_solicitado,elegibilidade
63345,16760,8.970.321.812.825.000,53,21158,3
43896,3078,8.655.712.473.767.770,54,17559,3
45137,13654,9.569.377.032.350.670,49,14634,3
44724,34472,8.780.463.910.538.440,38,17829,3
57356,22883,8.424.836.436.891.320,56,18439,3
29272,15980,9.407.650.721.443.050,66,12918,3
58140,32017,6.852.161.815.587.700,46,16900,2
41878,15522,8.318.305.243.277.960,35,20243,3
46025,27077,7.553.466.808.679.760,40,17274,2
39039,33297,8.753.058.022.032.880,50,13736,1
60969,26073,9.315.701.212.269.110,65,16483,3
41109,30617,8.778.882.451.447.700,26,21911,2
35609,24726,9.208.776.644.852.230,61,18919,2
41312,952,9.738.962.501.055.470,68,9184,3
33768,33108,900.342.580.421.273,60,17933,1
62925,28023,9.241.297.044.069.530,55,17270,3
33458,16956,1.0,21,20820,2
49351,14124,1.0,33,15164,3
40240,21236,8.343.121.473.341.210,20,13153,3
73528,8007,7.559.959.888.780.380,25,8159,2
56344,29428,5.920.756.470.150.160,33,11527,1
40561,18489,1.0,19,21039,2
52573,11008,7.931.703.980.516.520,62,15989,2
36359,26644,8.962.654.933.048.140,36,14501,3
60072,24747,9.160.046.392.551.390,41,21478,3
52515,28168,9.305.448.703.072.750,33,20448,3
56284,7155,824.913.278.584.286,68,11321,3
35695,27367,9.294.604.091.600.440,57,21004,2
29242,37865,9.042.125.535.154.470,19,6707,1
25047,19571,782.198.489.588.206,49,17297,2
26183,18936,1.0,18,16706,2
50163,6096,9.176.849.808.976.390,66,20748,3
78827,20820,7.216.215.107.915.270,35,16905,2
44011,9767,8.128.410.630.400.620,56,13777,3
41318,31675,8.105.964.958.416.140,49,14172,3
49186,44264,7.929.916.994.047.640,26,28466,1
38206,44517,9.111.274.265.842.510,20,15413,1
30772,11439,9.791.144.147.772.090,41,17985,2
40181,12623,7.405.732.868.377.850,28,4894,2
46595,26051,8.142.871.455.323.940,45,10863,3
77891,17700,9.646.241.342.264.020,33,17593,3
42672,20140,7.659.973.419.405.520,46,6927,2
52921,44543,7.786.303.807.175.250,58,17746,1
29420,9162,6.247.590.661.576.460,29,11374,2
60408,22666,9.268.749.593.409.120,63,9830,3
38910,23807,8.702.249.271.928.080,21,11355,3
33059,30500,8.165.879.206.675.490,43,22637,1
34578,11373,6.894.432.411.825.180,21,16667,2
40371,34834,8.157.236.931.609.730,28,10447,1
32658,22624,6.577.227.891.362.890,19,18876,2
54369,11712,8.324.647.177.456.120,48,19148,3
33734,18193,1.0,67,13093,3
59687,30025,8.696.203.400.159.590,20,19795,3
42370,40826,9.732.435.427.490.510,42,20033,1
36245,16486,9.805.379.714.087.280,51,19256,2
39751,41160,7.971.807.650.390.980,18,11631,1
34765,32423,911.846.936.746.375,22,9104,1
50323,14893,5.769.012.026.133.520,56,6535,1
41821,26024,8.781.226.970.900.060,69,11722,3
66670,28720,957.565.379.967.182,48,13160,3
15420,17603,902.243.332.491.842,53,13567,1
67521,13556,8.141.291.969.774.120,20,14763,3
39910,18664,975.569.664.257.817,55,23664,2
74006,16126,9.637.323.793.288.160,29,13302,3
51807,22760,8.450.767.118.236.730,33,14756,3
67995,41826,9.990.782.826.935.550,25,5912,3
48858,24586,9.018.061.280.975.720,28,26139,2
47936,38088,68.901.863.901.845,62,8420,2
35766,25684,8.820.215.259.669.940,31,11465,3
48627,48933,7.783.155.428.304.730,44,18478,1
35002,11864,8.996.959.193.950.990,35,16230,3
52809,656,4.863.003.948.975.460,25,23215,1
52420,22731,1.0,50,18600,3
48160,23993,961.678.106.687.898,21,14593,3
68554,35762,1.0,66,20220,3
57464,39044,8.489.779.507.320.420,47,20806,3
36197,4408,9.656.172.879.655.640,37,11699,3
58525,18277,8.711.567.527.825.200,47,19815,3
64280,21390,7.516.314.749.004.490,44,13888,2
14080,8463,7.688.667.293.584.620,42,14482,2
33755,18601,8.154.802.782.016.560,23,15714,3
42963,30908,9.750.089.473.638.610,22,13096,3
37791,31623,9.716.364.741.299.180,31,12827,1
59571,23745,7.853.180.387.046.610,68,19923,2
36704,36960,9.217.619.270.197.450,31,7355,1
35083,23484,8.516.240.014.444.540,51,9691,3
53581,32791,7.555.528.485.249.650,58,18373,2
46535,11616,7.318.376.848.221.240,42,14635,2
66837,12277,8.268.916.948.750.380,56,19957,3
55564,40771,9.433.313.004.474.590,35,16789,3
101041,15121,7.993.049.139.283.870,37,8331,2
33639,30136,9.290.155.568.330.150,60,15314,1
27065,14730,8.810.141.673.383.220,25,17672,2
70636,23901,6.862.088.016.331.060,43,16170,2
96000,18642,1.0,38,12658,3
46650,27161,9.694.935.165.129.470,44,13630,3
45227,27108,7.091.501.365.146.980,49,12199,2
51909,13384,8.899.268.023.672.270,59,8374,3
37210,27498,997.593.301.668.432,67,7686,3
20824,8575,8.910.502.049.746.650,34,16950,2
53643,37257,8.085.354.914.036.200,66,10642,3
50143,23592,8.377.134.841.189.510,18,17877,3
29246,10278,824.886.881.864.823,44,12024,3
40741,6915,8.358.472.133.643.460,53,8434,3
28905,26843,9.624.400.632.865.290,28,12960,1
55572,29606,8.972.652.875.859.690,58,25471,3
49596,16092,7.636.942.462.714.170,58,14521,2
52430,21570,8.227.675.724.192.620,52,18229,3
57797,27256,8.103.439.931.496.420,55,15844,3
66443,33111,8.789.319.712.954.140,55,7974,3
52669,29078,738.304.980.441.735,59,22244,2
59227,14396,6.993.181.325.183.210,59,13760,2
77285,33642,7.572.104.810.205.930,66,8447,2
64498,1733,6.939.755.415.985.600,64,12438,2
53273,17201,6.972.575.374.771.050,53,13968,2
52351,26200,9.724.412.417.523.960,27,18747,3
37561,7939,8.371.396.921.847.560,57,11596,3
40303,20549,887.188.849.979.984,18,28101,2
48520,25533,8.560.798.491.433.030,39,10314,3
44696,12242,8.616.803.131.026.820,34,18059,3
78282,21904,879.852.432.605.523,29,5130,3
55592,7771,9.087.619.600.596.600,61,14381,3
54358,30056,8.869.273.160.650.730,30,16836,3
67597,25333,1.0,42,9402,3
52745,27387,7.474.725.891.557.970,43,22495,2
45862,19306,7.440.000.021.885.630,63,17172,2
53874,3340,7.952.917.092.131.520,57,13411,2
56097,18672,7.177.001.149.696.300,63,17118,2
71002,37261,8.211.789.553.446.960,56,12033,3
29638,30163,7.543.459.775.429.120,66,21256,1
38910,37453,858.145.920.707.638,60,20076,1
48906,20553,8.573.419.031.410.000,50,16866,3
64058,13080,7.195.034.769.693.790,25,18058,2
61808,25866,9.266.431.669.207.400,30,7614,3
51625,18078,7.697.839.190.138.620,43,22334,2
65289,14420,7.562.095.533.147.140,34,14503,2
39891,2652,8.939.349.049.305.890,41,20125,2
78250,23342,8.500.036.171.926.890,41,18749,3
37464,29370,8.501.300.778.128.940,29,20048,2
24291,8351,7.507.284.125.268.440,48,9761,2
59077,34892,738.693.788.904.742,33,10397,2
28500,22496,9.297.554.500.464.760,59,26241,2
42366,21103,8.426.252.953.245.870,33,7403,3
47852,7806,8.729.143.205.193.760,47,9511,3
56223,25275,8.652.593.519.668.350,45,15216,3
65194,8472,9.177.668.048.823.480,20,15224,3
29754,10450,844.254.259.899.663,50,12299,3
33117,3275,8.268.059.559.518.540,68,18080,2
101202,47004,9.217.135.377.211.220,41,19510,3
46832,19518,1.0,47,14909,3
25349,13903,7.257.940.273.695.710,57,13657,2
34871,19581,7.951.359.984.968.140,65,14888,2
42088,14979,8.792.970.195.476.350,45,12513,3
50074,18208,6.324.023.980.614.040,64,6508,2
67888,23718,9.610.371.138.729.550,56,16504,3
74508,15937,9.294.931.145.230.720,19,18829,3
37632,21240,8.530.052.381.293.930,30,14230,3
41480,43329,8.966.370.660.959.330,54,3674,1
52227,1665,1.0,27,12141,3
39109,8616,8.789.192.685.041.110,57,19528,3
67892,24935,72.348.584.650.259,30,7808,2
87000,33684,9.460.431.986.334.380,36,18479,3
50320,49922,9.426.465.108.059.250,23,12772,1
54926,24145,8.708.242.368.022.440,35,14906,3
41210,7809,1.0,57,11570,3
55036,35053,8.395.139.316.118.500,26,9322,3
34097,21246,6.705.788.788.881.060,34,22171,2
35763,20859,8.759.438.572.850.880,21,19079,2
22745,570,8.646.782.463.601.070,67,18223,2
62238,31685,1.0,23,19542,3
70832,10787,8.856.740.832.098.790,28,17513,3
65459,25669,8.258.682.254.414.600,59,19720,3
51408,20672,724.471.694.844.292,43,11680,2
45300,21995,1.0,28,21888,3
48608,20518,6.218.604.061.348.360,25,21442,2
34710,12459,8.969.302.761.316.120,20,16902,3
64113,11589,6.490.827.034.223.720,19,13560,2
65726,29477,8.208.221.162.264.230,35,8882,3
34063,19841,81.445.682.008.072,19,16143,3
35985,13451,7.813.442.616.877.110,43,23424,2
30112,14876,812.991.874.008.165,29,9195,3
46181,26879,8.640.200.596.508.320,54,20090,3
49674,13219,8.039.061.388.930.660,43,12642,3
50996,35958,8.381.902.834.417.210,53,13069,3
30017,18443,780.527.623.720.066,33,9122,2
39018,16504,8.257.861.130.624.070,31,11237,3
39044,26178,9.472.854.343.545.080,19,18233,3
60963,17158,8.038.561.058.892.670,38,18855,3
35059,23817,1.0,24,16179,3
50815,19443,9.471.385.360.699.680,28,12495,3
39371,2640,9.321.327.136.360.010,61,9482,3
47126,9327,8.507.389.401.608.160,46,15308,3
64183,22928,7.548.978.949.732.280,54,13175,2
31417,15489,8.598.918.742.830.030,65,16055,2
10894,40587,1.0,56,13393,1
29918,12131,7.674.876.305.068.780,45,13521,2
56259,6907,8.793.838.166.047.570,57,15794,3
32037,20396,7.592.164.274.776.810,21,16760,2
39309,22509,8.097.151.310.413.150,21,21119,2
56809,28835,8.800.005.624.940.260,44,13315,3
62058,5049,8.864.352.760.294.230,23,17727,3
65490,35074,8.617.172.773.689.470,51,24018,3
58310,6911,9.106.484.920.693.430,58,17860,3
33113,30892,8.954.390.866.386.020,57,20821,1
74094,39575,8.172.108.290.107.400,35,11896,3
35856,27467,9.223.337.382.646.530,61,11398,3
40457,8532,7.533.173.375.645.720,65,14203,2
49917,18070,8.241.536.961.712.720,47,14735,3
54180,27555,8.035.619.199.328.100,50,20354,3
71579,20332,8.872.324.804.184.260,37,11351,3
40508,9508,6.122.862.892.588.650,53,14556,2
55706,20998,8.100.577.582.494.110,63,20374,3
40592,14832,895.661.085.737.659,67,16077,3
74112,26019,1.0,22,14945,3
56408,9382,8.549.731.690.458.520,52,16192,3
69339,658,7.417.951.233.041.940,36,9362,2
32708,9834,9.174.385.295.348.850,29,9281,3
41583,2944,7.819.736.518.499.570,43,7058,2
53729,13716,7.142.100.661.264.200,36,16033,2
69576,26711,8.682.678.795.053.110,69,19594,3
64884,16060,9.822.592.800.339.090,28,18827,3
72506,19757,7.698.258.269.290.860,37,20718,2
70120,9949,8.288.585.664.522.580,26,22271,3
61680,20198,9.192.848.142.980.390,37,15723,3
52300,10439,9.522.714.348.703.760,44,14676,3
33275,8112,992.622.753.489.804,22,22379,2
17830,17741,7.802.748.933.454.070,27,11494,1
51865,13235,8.374.848.276.112.800,26,9107,3
62039,8141,6.330.459.769.191.410,42,13305,2
9136,19206,8.105.311.515.691.390,30,12721,1
32388,10257,7.451.366.168.623.310,49,15241,2
34752,9571,8.640.510.199.260.760,25,10749,3
47185,33959,9.385.736.819.799.290,62,16848,3
51548,28538,9.190.242.052.071.280,44,12154,3
66221,23748,7.340.340.052.623.680,39,21141,2
30261,20602,8.101.672.461.874.150,45,9027,3
55163,26058,8.961.113.786.612.160,35,14302,3
29193,16075,8.625.015.420.314.680,40,13325,3
62536,20791,7.796.493.721.190.650,58,16154,2
42775,15963,8.874.631.030.302,48,19633,3
31817,21122,9.266.141.402.592.100,58,16331,2
39916,22854,8.310.424.063.668.220,51,14357,3
33269,22231,750.960.519.194.515,24,18456,2
51382,16325,8.877.305.629.129.480,22,19215,3
59360,26907,7.637.553.079.448.290,38,16345,2
65468,17976,9.822.346.052.630.230,23,16937,3
42217,17718,5.862.889.308.798.720,62,18233,1
70819,1786,8.175.128.322.236.030,67,6780,3
49634,11486,7.609.729.106.896.240,52,13245,2
68976,28659,9.212.284.598.139.300,59,16881,3
47641,27836,9.933.256.796.399.300,40,13541,3
46535,19779,7.845.746.992.200.560,20,13559,2
58676,14417,7.562.163.683.832.220,50,16874,2
54619,21514,9.143.919.716.771.810,55,16988,3
41688,3944,6.710.383.551.722.790,40,17335,2
67328,21397,874.649.677.451.478,33,11038,3
35649,7530,846.623.958.119.112,42,7910,3
58676,19091,8.281.132.711.225.160,66,19021,3
58017,22124,7.661.130.989.519.920,33,11287,2
65968,16503,6.388.931.907.734.640,42,10942,2
66262,27465,9.473.838.794.419.670,59,10491,3
47270,13679,9.129.400.510.913.840,24,20755,3
50491,12713,8.442.154.612.119.250,25,16060,3
49486,26243,8.729.510.783.362.990,20,16712,3
76183,16398,8.349.302.392.351.360,22,18447,3
59764,33467,9.482.202.921.815.450,36,14788,3
65656,20135,8.301.266.490.438.090,24,20063,3
46234,25512,846.836.527.026.133,67,9015,3
33099,29312,86.473.023.605.012,39,9571,1
35967,19283,811.509.346.606.333,43,9296,3
65187,4729,8.407.244.899.712.550,67,17108,3
39025,26274,8.368.366.217.254.930,42,17532,3
97927,31928,7.814.805.779.393.000,23,12637,2
43915,17344,7.547.120.810.207.120,22,13837,2
55268,29926,8.302.380.638.436.780,55,21340,3
55241,8319,8.197.184.778.810.040,55,11527,3
52692,21496,955.848.863.249.035,39,16477,3
31701,17141,7.537.816.717.362.120,48,11571,2
53716,4231,7.942.046.935.669.060,39,20479,2
53584,23982,868.452.389.135.292,28,18142,3
45509,11119,8.898.197.049.366.420,49,8005,3
77771,23764,836.091.476.466.013,34,13695,3
25071,10020,9.318.487.795.039.050,58,4604,3
27330,3261,8.395.539.320.659.270,39,19502,2
61305,12857,7.631.671.817.359.050,33,25236,2
48692,30351,8.460.777.533.001.460,59,4097,3
36801,18400,9.245.185.742.364.250,32,7864,3
52925,20356,9.472.395.545.602.950,25,15836,3
64390,21396,9.444.502.009.632.440,63,14907,3
25536,21017,8.693.683.832.043.430,65,12945,1
60843,38742,8.762.597.811.254.810,68,6311,3
54962,19584,908.979.962.989.794,20,16617,3
40608,5496,7.870.386.051.420.870,55,22429,2
41692,7701,9.011.362.539.165.770,45,11197,3
56836,33561,5.847.183.031.865.600,43,19418,1
74553,4474,9.043.963.180.364.520,56,17540,3
44856,21113,9.288.102.143.210.300,50,27523,2
67612,16147,8.249.814.608.280.910,49,11010,3
63840,14640,7.700.990.714.876.800,42,14416,2
45209,17260,967.815.920.255.708,41,9838,3
66502,14604,7.116.433.395.464.570,57,10135,2
65288,14270,9.645.709.064.774.580,44,16927,3
17820,29986,9.408.585.862.124.170,63,16027,1
60524,15962,9.060.688.003.063.840,39,17707,3
69207,7813,1.0,37,17598,3
32488,19161,851.693.183.942.718,50,13821,3
30294,9411,912.100.414.793.656,22,13787,3
53119,9128,8.451.930.281.044.020,46,10146,3
73679,34552,8.178.793.168.143.200,22,11494,3
33680,18168,9.028.671.213.918.840,63,14715,3
26331,7225,8.196.665.684.873.240,56,15985,2
43198,18970,8.562.565.168.794.350,34,18553,3
41107,20638,8.567.992.237.806.280,46,18044,3
24932,17929,8.095.166.338.258.740,28,22785,2
41237,15115,9.234.637.932.283.640,39,10136,3
55232,6127,6.728.728.385.812.920,48,13837,2
77843,15843,7.804.873.326.021.090,56,10573,2
58424,12060,7.526.357.607.495.680,18,21386,2
62092,18779,8.807.175.027.708.910,32,12487,3
33675,24226,8.262.289.009.677.790,36,20775,2
48583,37514,7.081.182.853.242.140,27,22263,2
46696,27748,8.970.076.674.744.960,26,17067,3
54889,7147,872.748.317.519.658,30,16465,3
58951,22223,8.536.469.847.532.440,62,15193,3
64292,35157,9.280.653.263.697.780,43,13414,3
50478,18575,9.022.005.051.902.870,23,12813,3
42155,35555,8.266.947.311.872.130,57,14262,1
68361,8953,8.916.223.301.169.500,61,24121,3
60877,11224,9.869.550.028.271.890,19,9790,3
59272,18309,8.346.612.199.210.460,46,16023,3
49408,18538,974.646.085.875.467,65,18556,3
68243,28367,1.0,29,13578,3
31144,20019,8.830.023.762.092.320,40,17080,2
63394,18910,7.494.540.801.240.550,67,7476,2
63319,44762,8.202.695.444.191.940,20,21625,3
36488,12224,8.662.826.081.144.900,67,20655,2
39791,32886,8.520.155.226.213.770,28,14507,1
30726,24156,8.628.869.662.530.510,22,10600,3
57655,16334,9.714.985.515.226.330,62,18964,3
11276,22588,7.649.911.864.674.360,27,9259,1
53348,11824,8.868.115.771.174.770,64,9976,3
38542,20862,9.421.275.416.871.700,23,14731,3
35235,19960,8.249.224.413.431.080,33,22590,2
21828,24763,7.474.033.210.942.010,48,18202,1
36706,18832,8.294.649.628.446.710,40,11765,3
71447,36661,7.458.540.832.706.900,47,6589,2
39212,11176,7.793.460.290.973.690,57,15207,2
56297,13113,9.081.399.112.237.520,37,16257,3
33636,22392,8.764.366.017.593.940,42,14636,3
65388,11943,9.212.022.755.356.870,52,24031,3
59075,26729,8.983.819.832.286.440,22,14340,3
46583,33143,8.293.986.056.569.120,64,3589,3
53476,14804,749.002.801.957.428,20,12964,2
54763,20881,8.823.676.581.337.900,64,17273,3
34984,26547,7.965.564.446.663.460,51,16934,2
37798,28833,8.360.686.237.845.280,29,14116,3
63768,54778,77.850.985.217.167,44,13288,1
73200,6424,9.403.918.219.859.540,22,5001,3
52202,34941,6.258.999.337.627.220,58,15428,2
60389,13575,9.015.191.776.020.080,39,13306,3
68067,13998,864.912.908.036.138,21,16246,3
49783,4236,9.072.476.001.092.740,68,5168,3
37210,29153,740.747.964.490.494,64,14866,2
36480,3915,7.625.032.256.127.790,18,23493,2
59736,20964,8.605.259.981.393.830,18,15270,3
52972,4829,900.579.303.141.893,60,11126,3
62816,7354,8.712.679.493.986.940,48,14897,3
68060,23162,7.593.545.652.838.550,28,14678,2
43189,23048,7.750.067.715.320.270,22,25959,2
56601,27489,7.439.370.650.239.140,52,13335,2
58582,10684,8.730.403.539.283.890,28,8983,3
39538,29966,8.679.859.651.168.340,21,15107,3
40324,35633,8.898.332.140.945.720,55,15977,1
60841,22331,8.684.002.973.775.970,67,17811,3
50026,2132,8.612.872.970.934.370,56,18778,3
36906,709,939.342.390.009.631,38,24777,2
37713,21530,8.597.513.725.517.120,53,12021,3
30742,14277,9.383.832.400.215.500,63,11567,3
44626,10043,8.107.494.112.417.360,45,5729,3
34566,18328,7.713.457.350.183.430,25,18308,2
51533,16419,9.700.783.510.967.010,37,10563,3
84218,18396,8.030.265.432.563.980,60,19458,3
56905,11195,8.390.611.359.825.380,63,12541,3
66006,39795,7.672.583.204.953.820,38,23629,2
56009,9126,1.0,52,7832,3
25260,17307,6.969.316.356.407.000,60,20114,2
51898,417,9.482.626.076.840.610,49,19519,3
39760,8435,6.639.091.538.888.780,53,17632,2
37633,6985,8.121.856.927.624.000,58,9413,3
46602,14619,9.240.255.733.138.840,22,17655,3
59465,17511,1.0,62,15634,3
45421,15781,8.261.218.370.247.680,69,5848,3
62881,14529,7.959.508.937.885.880,21,22791,2
52748,22142,8.703.656.524.746.350,24,13271,3
54759,22909,1.0,51,22406,3
49113,3816,8.669.768.026.176.690,37,14661,3
69288,30576,9.010.829.798.433.030,68,19911,3
39485,22612,7.860.040.096.555.730,24,10702,2
40335,407,9.409.147.833.634.530,69,16072,3
45226,28986,6.933.681.856.911.800,41,15719,2
57535,30197,9.752.723.089.366.180,38,13381,3
59557,114,9.828.907.852.575.950,26,10653,3
41595,16877,1.0,36,334,3
63452,22637,982.677.594.391.413,37,10771,3
35294,30697,7.960.462.135.910.410,45,18502,1
60693,24913,9.965.456.940.533.800,49,8023,3
55365,14368,9.630.199.995.091.940,51,9059,3
50260,9174,7.775.262.045.258.070,33,7825,2
57096,5214,8.708.464.502.624.470,55,16044,3
48214,10717,5.586.581.298.614.660,68,10532,1
53828,25377,7.120.619.492.772.230,67,21101,2
86091,29209,9.320.961.760.429.650,34,18673,3
63414,16227,1.0,28,16000,3
41867,30964,932.482.215.181.946,21,16519,3
45421,24078,8.555.350.712.732.570,57,11185,3
68123,45280,7.466.929.157.032.520,67,11186,2
44077,1675,914.435.700.812.325,62,18555,3
75511,17814,6.583.704.863.872.990,57,19566,2
61480,22122,9.014.960.117.467.880,59,18511,3
29659,38476,7.598.362.070.855.840,35,12647,1
63025,5452,9.255.310.614.879.710,67,13043,3
17654,10339,9.303.757.393.394.870,66,10341,2
44774,20550,7.934.549.308.093.530,65,18841,2
62827,7767,9.433.821.852.439.280,23,5192,3
22006,17514,6.745.829.870.449.950,63,3978,2
80442,3645,8.356.438.539.137.600,49,4975,3
64526,31952,929.105.649.492.032,22,4286,3
35316,36791,9.121.705.475.721.490,32,21785,1
72800,37153,7.944.305.079.882.650,62,18934,2
21355,21532,9.382.104.713.539.760,33,9007,1
34886,21752,9.419.202.521.225.390,65,14470,3
28773,19877,7.326.632.691.833.620,34,22328,2
20375,28610,8.388.036.005.006.740,54,17500,1
45002,32613,8.695.045.766.193.530,60,25571,2
52867,27133,8.680.748.858.437.870,32,14428,3
52419,22425,931.143.993.593.456,52,11724,3
51955,27054,808.675.972.801.127,25,9594,3
50788,19894,1.0,52,15118,3
32278,6586,8.106.050.760.947.900,53,19680,2
42462,14084,7.365.992.765.724.710,44,15495,2
8736,22129,8.273.301.144.357.090,31,13209,1
66193,11296,8.754.134.286.996.880,40,21282,3
51419,10602,7.321.293.627.985.050,37,17644,2
51024,26181,8.192.736.788.069.340,23,14432,3
61691,26804,7.259.831.156.749.950,41,11167,2
62764,22956,920.315.307.132.631,40,13727,3
44582,15022,8.322.524.954.809.960,53,17363,3
48246,16623,6.114.049.589.294.510,29,11098,2
73492,27000,9.538.039.004.113.120,19,8831,3
41220,10983,7.329.421.636.335.870,44,12599,2
73358,5451,1.0,49,14753,3
44745,25071,781.656.609.824.688,46,21816,2
21376,18806,7.921.658.898.586.010,67,9199,1
51342,33072,8.660.412.746.914.860,63,16133,3
44629,9347,6.085.712.488.745.430,57,13612,2
29776,30746,8.940.419.492.590.460,57,13860,1
48784,14162,9.201.206.414.698.580,61,22696,3
42717,27820,9.406.276.359.708.650,50,15406,3
78107,7116,8.780.729.750.741.850,46,10432,3
64527,3948,8.591.078.259.261.810,50,19443,3
35580,23509,6.982.541.807.406.510,53,19076,2
38896,17248,8.993.153.038.648.060,34,9994,3
65008,21593,8.458.181.061.603.230,27,9035,3
68187,10244,8.072.955.603.454.610,18,17052,3
45003,23280,7.467.093.890.028.930,60,14835,2
42786,32739,8.979.886.291.314.460,34,12647,3
48092,30966,8.177.367.312.726.660,59,20281,3
54349,13252,661.790.370.681.737,45,12038,2
60884,7437,8.276.959.908.942.830,55,17107,3
61660,19969,7.729.579.131.676.910,53,20873,2
34165,28474,9.375.981.190.277.520,62,13304,1
44604,3118,8.334.204.696.441.180,44,5854,3
18682,26094,823.727.498.792.628,60,12984,1
49647,40102,8.808.731.352.530.850,54,15946,1
29182,26396,1.0,63,20015,1
39022,4444,8.906.057.517.575.400,42,12394,3
66560,8672,7.710.365.266.976.560,51,23615,2
55850,13100,6.943.055.145.429.960,20,8505,2
55236,18549,9.830.230.998.474.970,46,15820,3
50034,23490,6.048.097.095.957.940,52,13804,2
71056,27204,8.478.343.737.925.470,60,21735,3
40582,17015,1.0,58,7631,3
52454,22560,6.722.351.001.213.710,68,17128,2
51652,9186,7.382.984.445.962.420,27,13778,2
44771,12940,8.699.222.478.631.230,55,22645,2
82074,28849,7.694.240.286.716.490,55,10857,2
31686,24521,8.384.315.046.091.750,18,17076,2
22276,25769,8.925.120.133.281.400,18,10809,1
51619,9606,9.069.250.984.196.010,49,15940,3
40954,19620,9.607.984.989.400.460,39,13153,3
15179,20853,691.842.308.416.683,36,13073,1
55637,23229,9.766.271.540.672.460,52,5062,3
53626,30172,9.846.635.265.648.960,23,17072,3
66834,20451,9.345.706.889.245.550,51,9588,3
41659,35903,736.839.127.099.945,32,9416,1
22114,347,7.317.092.845.617.210,61,7223,2
35925,16917,8.796.602.561.880.820,59,9719,3
21172,30323,9.143.851.361.428.690,68,17502,1
72451,12535,9.675.458.879.888.670,62,17255,3
65087,28337,8.019.116.284.194.170,20,18318,3
69250,20978,912.660.359.853.552,67,9865,3
59996,38982,9.072.210.412.501.600,69,16073,3
28993,18488,7.845.572.450.255.320,54,11923,2
43939,18608,8.059.320.954.785.620,39,19773,3
61887,38011,6.903.362.405.112.130,62,17130,2
24509,16385,7.436.042.540.297.330,46,11717,2
56611,30562,7.870.000.842.012.330,31,20202,2
61674,23075,902.191.532.264.001,47,17536,3
83948,30871,1.0,32,8064,3
64333,16509,8.984.783.772.752.530,67,6642,3
57126,18934,7.255.404.464.442.370,46,8261,2
50427,16324,8.022.625.201.758.310,31,23245,3
58148,261,9.550.243.149.758.490,68,9922,3
59157,17349,7.696.884.994.590.010,20,24380,2
18926,52020,9.999.200.510.457.480,39,9663,1
53201,12676,9.184.526.974.600.270,50,9130,3
10329,21459,8.248.473.957.416.080,40,19399,1
16192,31911,6.586.892.589.714.220,24,19627,1
50630,25215,9.507.500.361.499.870,37,17779,3
57178,19224,9.143.682.201.559.510,24,18380,3
30110,11057,8.972.619.977.681.320,34,10991,3
66407,34423,1.0,49,19165,3
72792,31086,7.563.934.458.982.230,32,16199,2
62089,34185,1.0,30,13173,3
49599,33185,8.313.496.261.792.360,64,15473,3
54593,5724,87.551.499.457.268,20,20303,3
51693,16481,8.812.137.466.364.290,42,16959,3
53209,23109,9.334.597.239.514.750,66,4210,3
34637,10488,7.785.484.477.261.760,49,19456,2
44410,13698,1.0,33,19073,3
50893,26405,7.394.435.002.761.810,18,13104,2
55057,25993,8.143.245.225.095.570,63,15583,3
58843,37608,1.0,20,15563,3
35023,12787,9.679.819.800.365.100,37,5102,3
47408,10699,8.143.313.105.177.470,45,12991,3
45973,40981,9.180.309.562.067.190,39,13185,1
79392,17542,7.422.613.768.402.370,53,14206,2
53746,998,7.689.419.434.704.700,58,12370,2
60106,23996,8.135.869.547.168.250,18,18314,3
64947,9249,9.926.408.648.387.390,31,10954,3
62807,16137,6.393.956.494.887.860,62,19550,2
19481,5823,938.052.998.363.339,32,18078,2
47326,31114,8.104.439.240.498.590,49,21802,3
60169,24082,9.121.164.832.977.310,35,23668,3
51952,7103,9.083.849.773.084.680,65,23702,3
24980,21983,8.473.164.064.514.850,55,9071,1
34348,26710,7.744.479.254.176.840,39,16720,2
36682,17883,7.833.113.955.641.050,33,11411,2
54923,36553,8.186.426.823.373.740,28,31401,2
53512,30414,6.874.068.798.121.960,24,18070,2
72857,15181,8.589.438.472.721.110,26,22081,3
50189,17732,7.794.225.348.631.590,18,17176,2
53053,7633,8.037.002.554.105.990,59,1822,3
29945,3033,8.294.091.028.214.130,25,11082,3
47662,11296,9.250.282.320.288.300,28,11572,3
84100,12972,9.738.211.063.646.530,22,13049,3
55131,33264,9.872.751.883.966.280,46,16797,3
41601,6252,8.910.630.725.562.600,23,17506,3
56232,20973,8.110.309.955.092.250,29,1863,3
65629,22145,7.192.161.971.127.670,60,13815,2
57466,12928,1.0,56,12570,3
62473,30194,1.0,24,21905,3
64389,16874,9.391.959.074.589.950,61,17961,3
52352,14073,9.158.063.367.868.380,29,14084,3
54935,36423,8.146.001.508.781.510,50,16118,3
41026,11580,8.630.458.522.114.980,36,6564,3
40857,27784,9.420.628.392.991.440,53,18306,3
48792,14322,660.911.201.800.061,36,13022,2
30134,7848,7.887.832.892.320.420,38,10963,2
55532,16695,851.058.302.396.597,36,21571,3
38055,43557,6.576.875.600.645.100,60,16367,1
52683,5562,7.012.486.432.927.220,26,11672,2
57758,12995,7.841.796.008.660.500,62,11978,2
30249,32290,8.586.006.313.058.270,39,16829,1
56150,10601,1.0,36,16440,3
